CustomerID,DateDiff,Frequency,Monetary
1,212,915,1472936
2,293,731,6972346
3,661,868,7635439
4,56,79,2867815
5,564,54,2821233
6,415,693,8431002
7,476,535,1528221
8,460,1296,9885429
9,692,1300,6158257
10,174,1241,9995541
11,705,998,6515633
12,278,253,580244
13,416,1025,9142005
14,466,854,8323650
15,131,1200,8649016
16,638,833,9477941
17,95,363,1601100
18,521,1067,3893201
19,49,786,9371771
20,340,221,5418437
21,619,644,9618188
22,596,298,1785381
23,712,613,9999702
24,642,121,2185442
25,386,468,4888993
26,222,1293,752540
27,274,473,8449221
28,640,1153,770318
29,530,521,7431307
30,567,187,4005790
31,381,395,3862923
32,706,518,7650777
33,288,1424,3304743
34,370,1143,5808549
35,661,677,9021541
36,9,1427,1847751
37,253,1376,4144525
38,513,858,8770374
39,710,202,3869028
40,456,288,9200898
41,387,904,6245419
42,704,598,1111081
43,333,433,7130970
44,522,1271,8897946
45,364,700,2577586
46,711,1219,9536749
47,313,289,5638251
48,257,360,6672643
49,617,1349,7591357
50,156,1255,6351635
51,206,771,648154
52,501,658,4702981
53,146,941,493375
54,112,675,5426506
55,238,487,19088
56,683,55,5174693
57,375,195,3410428
58,160,556,6104657
59,225,345,2138794
60,523,800,3989760
61,583,930,7651560
62,405,755,839153
63,197,48,4858908
64,682,887,4276826
65,4,526,3908415
66,587,157,9137657
67,603,269,4268211
68,543,327,5626557
69,9,218,6186307
70,420,442,6094774
71,621,775,2107387
72,397,811,3359953
73,461,375,7352530
74,18,1225,9503873
75,127,1115,5183044
76,31,786,5906845
77,217,500,6510973
78,438,901,8607464
79,491,1373,8561000
80,166,1417,9365487
81,18,482,5540372
82,674,907,1549284
83,176,1218,5495069
84,284,1038,8610163
85,166,674,1759097
86,371,843,889342
87,460,610,2952904
88,618,240,9784923
89,648,1375,3543617
90,34,900,7428256
91,253,799,7521926
92,364,396,5306532
93,483,298,6511706
94,321,876,6023091
95,497,593,6431869
96,519,776,9518295
97,339,1319,6619599
98,557,900,820960
99,237,758,9814589
100,634,1359,4695070
101,380,443,8146515
102,135,1350,3889306
103,119,967,4998740
104,314,1303,8669812
105,251,1356,5501261
106,700,1033,7120496
107,16,509,2553178
108,594,920,5656413
109,183,591,2240375
110,483,1202,2153819
111,156,981,6812569
112,82,779,1607103
113,106,543,7110627
114,317,322,6865424
115,629,171,8955822
116,385,896,4718934
117,594,150,8142185
118,475,1254,9263807
119,135,828,4879115
120,487,1319,4446488
121,491,136,5737318
122,601,354,6902840
123,641,1315,6813291
124,540,527,5295863
125,554,176,4606855
126,217,1320,7409333
127,378,513,7619592
128,488,694,2005997
129,25,521,5049851
130,414,404,7984061
131,631,94,5915868
132,126,1303,5942927
133,397,1008,8300359
134,48,168,9102630
135,627,330,2778475
136,121,1089,7355150
137,411,857,6518439
138,560,1013,4821015
139,194,429,5005727
140,305,452,4229586
141,177,1232,6014522
142,576,1388,9483478
143,284,1279,8574601
144,680,255,9470557
145,385,615,8283599
146,323,486,2359353
147,185,224,1187264
148,53,1209,5991070
149,701,111,6249643
150,690,301,2677538
151,408,69,8365455
152,424,204,801726
153,167,179,9069655
154,523,87,9401431
155,570,1395,7054769
156,647,1283,7721659
157,267,1354,8289241
158,572,717,9564418
159,280,195,8473068
160,32,746,8282937
161,700,928,8265764
162,703,338,1342136
163,47,861,2501504
164,307,401,1800110
165,249,397,4241807
166,209,721,4514652
167,94,489,9497088
168,524,753,3271712
169,375,457,6779438
170,212,699,1453645
171,562,317,3788587
172,692,1402,1877523
173,575,1224,271397
174,714,1123,2528734
175,200,984,5814646
176,152,584,7709051
177,495,622,9405892
178,340,1435,4036164
179,251,405,3488538
180,440,723,1289241
181,83,159,6348723
182,448,840,6471251
183,199,897,276787
184,149,3,8157455
185,0,1222,6666480
186,604,1375,5464538
187,29,283,8601868
188,552,479,8107101
189,245,29,2650230
190,108,630,5668657
191,419,1336,9176330
192,578,219,4150913
193,348,1220,5203070
194,139,843,5943207
195,341,268,411486
196,561,950,6871839
197,193,71,819686
198,202,411,2090093
199,545,557,9696768
200,105,684,918232
201,268,766,9090727
202,310,229,9029114
203,235,1352,7830507
204,396,1055,6406753
205,198,314,6813961
206,291,968,1063529
207,235,525,3488342
208,278,1340,5845646
209,261,239,1989974
210,603,611,8523013
211,172,1152,9998569
212,442,96,3861844
213,401,540,8418900
214,325,1379,7212361
215,393,490,2951459
216,370,693,4509457
217,257,1349,6108071
218,358,625,2971239
219,93,927,491647
220,586,521,1812139
221,364,372,5795916
222,230,1378,328612
223,406,941,2238991
224,47,1269,9507986
225,525,221,7109531
226,281,972,1384894
227,336,665,7171400
228,504,944,2190626
229,335,437,1922652
230,447,1388,9800825
231,424,1278,5371461
232,183,692,4915367
233,465,1163,5977194
234,535,313,4649665
235,650,229,7740555
236,382,660,4546455
237,173,1064,9029798
238,677,958,70732
239,432,1392,4144428
240,698,1095,6338298
241,64,138,7451738
242,208,741,5776585
243,255,1293,2684304
244,97,19,5118553
245,602,1252,4093499
246,630,541,1440422
247,169,1191,2883913
248,633,1228,5183743
249,28,903,1969354
250,238,948,6752157
251,486,1026,9465214
252,462,497,2858392
253,545,25,4421397
254,692,693,8513028
255,494,61,7779331
256,408,82,3370588
257,565,526,8379265
258,392,85,9626666
259,699,1231,7588265
260,645,1100,409021
261,4,531,942374
262,562,397,2059751
263,37,1408,2913219
264,291,688,1837490
265,715,390,8336105
266,456,967,6992423
267,572,1333,6129154
268,711,1135,3090663
269,262,621,2787193
270,448,611,9452862
271,311,980,799809
272,285,394,9699446
273,221,669,5116257
274,463,914,1607927
275,170,1363,884131
276,675,1203,6374658
277,550,483,9884918
278,441,750,787406
279,117,665,5572701
280,255,1002,4863699
281,91,1141,1452403
282,6,763,6038066
283,452,334,6793874
284,89,1064,7175461
285,310,56,4338810
286,315,1164,6013523
287,623,856,3283249
288,421,371,5847308
289,106,1206,5053828
290,608,198,6486328
291,409,1153,6799115
292,693,289,3261669
293,620,918,7994240
294,154,1225,1108317
295,51,665,1593230
296,602,137,2421453
297,607,1359,4421939
298,642,459,6278244
299,414,1302,1923709
300,494,1006,3169781
301,473,165,1256646
302,553,495,5007676
303,438,488,9633309
304,558,830,6159412
305,423,819,3711033
306,281,802,9747587
307,506,1152,6047767
308,402,1144,8498977
309,346,1093,7783216
310,601,523,838992
311,241,734,3732800
312,237,950,5136096
313,79,870,2210849
314,545,1000,421512
315,39,1161,2069782
316,651,1062,7645800
317,138,169,5680920
318,375,1425,6330376
319,412,561,2558318
320,121,796,5494759
321,468,274,6412310
322,472,1250,152902
323,527,748,6318669
324,337,26,6398283
325,618,67,5837067
326,154,1229,3276732
327,260,947,9807328
328,408,143,572839
329,475,437,1943997
330,640,428,3416280
331,88,393,5308963
332,685,592,5447127
333,630,1249,2454655
334,601,52,9767934
335,332,586,9365680
336,607,1250,2352781
337,488,582,2412760
338,383,567,6818443
339,645,888,3398003
340,389,746,1001960
341,52,448,1498998
342,141,644,944257
343,225,1194,8794859
344,673,978,5514005
345,597,680,4150647
346,252,1314,1572291
347,166,347,1199652
348,425,579,912016
349,438,190,9208050
350,576,370,7873471
351,509,447,9473691
352,705,154,723667
353,315,111,3278020
354,720,776,4264945
355,431,1336,411978
356,346,92,107709
357,500,746,5126427
358,718,547,6292741
359,360,38,9484060
360,411,713,6259916
361,528,710,3446005
362,99,1186,6724810
363,462,1358,7632886
364,587,355,8796766
365,344,763,2037220
366,710,769,7927699
367,505,1301,1802152
368,421,1052,1369301
369,581,1158,2074502
370,217,213,2149618
371,599,826,7852575
372,139,1420,4627885
373,404,574,3647479
374,655,759,6826577
375,230,1322,2824158
376,185,362,7211256
377,446,771,1485427
378,376,649,3175723
379,56,304,8541814
380,280,170,2984597
381,478,841,4113126
382,706,344,7183406
383,308,138,9789981
384,110,550,4401099
385,204,324,1271516
386,233,1162,6995672
387,590,1303,6341150
388,494,894,5805650
389,433,656,2813450
390,514,1289,8382335
391,60,118,6862995
392,593,65,3745450
393,653,791,5661927
394,635,1214,4551383
395,315,679,3810681
396,49,1260,6450615
397,657,191,6554160
398,171,1023,1748639
399,537,1066,4885815
400,112,200,2762194
401,6,861,5448952
402,66,96,389052
403,61,679,9740727
404,352,1093,6483
